Wall time,Step,Value
1512342778.4390883,43,1.0
1512342782.5263681,46,4.0
1512342894.2832549,72,5.0
1512342965.5412495,93,2.0
1512343235.8963048,170,3.0
1512343498.6697958,229,1.0
1512343505.8863425,236,-2.0
1512343572.284978,257,-1.0
1512343623.1332273,270,4.0
1512343733.2057683,306,4.0
1512343745.898969,311,4.0
1512343763.6521142,320,1.0
1512344272.1239605,475,5.0
1512344474.6126313,537,3.0
1512344618.0236115,582,1.0
1512344633.5084667,584,10.0
1512344811.0920327,637,0.0
1512344869.9218132,648,5.0
1512345042.0966241,718,-1.0
1512345067.6860294,724,8.0
1512345323.40573,800,11.0
1512345358.6079803,809,2.0
1512345445.079253,838,7.0
1512345931.2013507,971,3.0
1512346111.5118635,1014,6.0
1512346322.3211594,1067,3.0
1512346445.071057,1105,2.0
1512346730.031796,1181,4.0
1512347020.8968072,1261,-1.0
1512347262.8774657,1317,5.0
1512347281.7265806,1320,7.0
1512347338.7936356,1334,6.0
1512347340.474386,1336,7.0
1512347552.115769,1386,6.0
1512347601.8971477,1393,5.0
1512347761.720233,1436,9.0
1512347915.0705025,1467,7.0
1512348275.034119,1553,7.0
1512348427.2836194,1585,9.0
1512348844.6028876,1691,5.0
1512349050.2590194,1735,8.0
1512349051.7138114,1737,8.0
1512349517.9279542,1848,7.0
1512349672.2931802,1878,9.0
1512349831.3321168,1916,11.0
1512349977.6997952,1948,12.0
1512350371.1257863,2037,11.0
1512350637.9830031,2098,11.0
1512351004.3659332,2188,11.0
1512351055.107908,2201,14.0
1512351204.7254927,2232,14.0
1512351310.6718705,2263,14.0
1512351515.19942,2307,4.0
1512351845.3568685,2390,19.0
1512352039.2526748,2437,7.0
1512352132.370045,2454,20.0
1512352144.1651852,2455,21.0
1512352145.1167593,2463,20.0
1512352249.9508367,2486,19.0
1512352250.6016014,2487,18.0
1512352302.215438,2499,18.0
1512352351.1738307,2504,17.0
1512352457.3978434,2532,19.0
1512353098.6844964,2688,20.0
1512353335.199987,2739,17.0
1512354262.0015295,2967,19.0
1512354584.0138218,3039,21.0
1512354584.7661746,3042,21.0
1512355072.3638556,3161,19.0
1512355358.843238,3231,18.0
1512355430.5917902,3247,20.0
1512355440.2471673,3248,19.0
1512355666.0586598,3307,20.0
1512356391.6303506,3481,21.0
1512356965.8447075,3620,21.0
1512356966.9592328,3621,20.0
1512357172.9915233,3671,19.0
1512357449.0908978,3742,19.0
1512357739.5216799,3814,19.0
1512357746.7468867,3822,21.0
1512358200.394594,3929,20.0
1512358305.0994117,3957,19.0
1512358614.7597032,4038,21.0
1512358869.912673,4099,21.0
1512359236.7087643,4195,17.0
1512359397.2039113,4233,21.0
1512359756.7259429,4318,21.0
1512360092.8337743,4399,18.0
1512360464.8130934,4492,20.0
1512360531.4151158,4510,21.0
1512361176.9121628,4665,12.0
1512361194.7751155,4671,19.0
1512361228.3248467,4677,21.0
1512361654.3496978,4789,21.0
1512361729.532652,4803,21.0
1512361865.7116878,4841,20.0
1512362095.0421617,4897,16.0
1512362411.2682483,4972,20.0
1512362745.110718,5057,11.0
1512362746.4312477,5052,19.0
1512362955.9419785,5105,19.0
1512363090.327141,5136,21.0
1512363944.8460593,5345,19.0
1512363999.2483869,5360,20.0
1512364261.3089142,5422,19.0
1512364770.919541,5549,21.0
1512365313.2403736,5677,18.0
1512365494.854305,5724,9.0
1512365836.2996206,5809,18.0
1512366049.0631275,5863,21.0
1512366070.7910476,5868,20.0
1512366228.788358,5908,20.0
1512366562.838296,5994,16.0
1512367151.0581794,6134,19.0
1512367441.556598,6199,19.0
1512367517.888877,6220,20.0
1512367809.4793286,6289,18.0
1512367914.7465014,6313,21.0
1512368178.2750273,6375,18.0
1512368758.1396165,6521,16.0
1512368967.157007,6574,18.0
1512369077.870894,6604,21.0
1512369467.9184544,6697,18.0
1512369483.1936736,6702,20.0
1512369533.8786197,6712,21.0
1512370112.5233145,6854,20.0
1512370544.6968243,6964,19.0
1512371159.692112,7116,19.0
1512371322.7246265,7155,20.0
1512371965.0306544,7312,21.0
1512372259.292974,7383,20.0
1512372538.3168056,7449,19.0
1512372577.86168,7460,21.0
1512372589.1350205,7464,18.0
1512372647.094461,7479,19.0
1512372766.9847682,7512,15.0
1512373525.377767,7697,11.0
1512373919.9786217,7789,19.0
1512373962.280289,7799,19.0
1512374106.8695757,7834,23.0
1512374740.7792947,7992,18.0
1512375057.65772,8067,14.0
1512375516.8714752,8181,19.0
1512375684.136641,8222,21.0
1512376220.6027226,8364,20.0
1512376243.933914,8369,22.0
1512376270.584817,8377,21.0
1512376645.9972663,8471,21.0
1512376785.1303,8499,21.0
1512376793.4242058,8509,20.0
1512377194.751417,8602,19.0
1512377328.3479905,8640,15.0
1512378293.0811806,8878,21.0
1512378409.3015897,8908,21.0
1512378489.8097866,8929,23.0
1512378511.9589076,8935,19.0
1512378742.5224082,8993,19.0
1512378996.8551424,9055,20.0
1512379827.5922174,9261,19.0
1512380056.6136563,9317,19.0
1512380186.3358107,9350,22.0
1512380561.9166274,9436,18.0
1512380698.93899,9469,21.0
1512381060.3201525,9555,19.0
1512381101.7774472,9567,21.0
1512381460.3725445,9658,21.0
1512381559.8499525,9681,21.0
1512381628.8297746,9701,12.0
1512382216.7244706,9844,20.0
1512382472.750549,9911,14.0
1512383084.810128,10059,2.0
1512383189.4579496,10084,22.0
1512383983.0664203,10277,21.0
1512384015.42867,10284,21.0
1512384482.9684765,10400,20.0
1512384814.0818133,10480,22.0
1512384972.4965892,10520,19.0
1512385335.9606783,10607,23.0
1512385465.6130528,10638,19.0
1512385518.2234201,10654,19.0
1512385755.8692296,10713,15.0
1512385944.070377,10758,19.0
1512385951.1458993,10759,20.0
1512386051.0445046,10782,22.0
