Wall time,Step,Value
1512492895.7748587,10,7.0
1512492926.4204462,20,3.0
1512492962.5219285,30,5.0
1512492983.6504169,35,3.0
1512493016.7282321,45,10.0
1512493043.4374819,55,-1.0
1512493057.2747834,60,3.0
1512610500.6330087,5,3.0
1512610526.5831091,10,2.0
1512610556.7110884,15,3.4000000953674316
1512610592.1230128,20,2.200000047683716
1512610702.1482747,25,3.200000047683716
1512610722.4036121,30,2.200000047683716
1512610760.4608421,35,3.5999999046325684
1512610791.628413,40,4.0
1512610843.9564672,45,9.600000381469727
1512610920.554551,55,7.0
1512611016.8354135,65,8.800000190734863
1512611068.0916154,70,8.800000190734863
1512611157.76124,80,5.400000095367432
1512611295.1700838,95,11.800000190734863
1512611345.6978052,100,8.800000190734863
1512611389.3682609,105,8.399999618530273
1512611443.7700224,110,10.399999618530273
1512611471.579269,115,4.800000190734863
1512611589.5392041,125,13.399999618530273
1512611750.7341514,140,11.399999618530273
1512611814.542461,145,13.0
1512611934.1233213,155,8.600000381469727
1512612004.928754,160,13.399999618530273
1512612056.4296362,165,10.800000190734863
1512612117.3371363,170,11.199999809265137
1512612175.57949,175,11.600000381469727
1512612247.7206037,180,14.600000381469727
1512612375.956782,190,13.399999618530273
1512612444.344154,195,15.800000190734863
1512612629.923515,210,13.0
1512612701.7828963,215,16.0
1512612771.3974364,220,14.600000381469727
1512612836.536853,225,15.0
1512612908.1638472,230,16.200000762939453
1512613114.6862228,245,13.399999618530273
1512613180.638233,250,15.800000190734863
1512613241.4815435,255,11.199999809265137
1512613305.8417785,260,13.600000381469727
1512613366.9925282,265,12.199999809265137
1512613426.1312191,270,12.600000381469727
1512613496.417643,275,16.799999237060547
1512613568.295021,280,18.200000762939453
1512613626.3133645,285,14.800000190734863
1512613689.3662193,290,14.199999809265137
1512613825.2138438,300,17.600000381469727
1512613887.622298,305,13.199999809265137
1512613954.2503183,310,14.399999618530273
1512614011.8434174,315,14.0
1512614134.449882,325,16.399999618530273
1512614266.187582,335,15.600000381469727
1512614317.513194,340,11.0
1512614461.7230802,350,17.399999618530273
1512614532.633055,355,15.399999618530273
1512614664.6854463,365,15.0
1512614730.0288842,370,15.0
1512614793.4348123,375,15.800000190734863
1512614864.6077716,380,17.399999618530273
1512614936.6034083,385,17.600000381469727
1512615009.2045174,390,19.200000762939453
1512615153.1774352,400,18.399999618530273
1512615220.5585663,405,16.799999237060547
1512615292.3727229,410,18.600000381469727
1512615363.9356103,415,16.600000381469727
1512615501.2063057,425,20.799999237060547
1512615695.8894145,440,17.799999237060547
1512615768.3124263,445,18.0
1512615842.50887,450,17.0
1512615913.532619,455,16.600000381469727
1512616046.3751066,465,18.399999618530273
1512616112.1080685,470,15.600000381469727
1512616177.7310395,475,16.200000762939453
1512616386.3365126,490,15.800000190734863
1512616454.6395133,495,18.600000381469727
1512616664.2873278,510,19.200000762939453
1512616871.4790246,525,18.200000762939453
1512616943.1719995,530,20.200000762939453
1512617015.7453318,535,19.600000381469727
1512617087.3122306,540,19.799999237060547
1512617161.2535083,545,17.799999237060547
1512617355.6462078,560,19.0
1512617420.7794275,565,16.0
1512617482.4855757,570,14.800000190734863
1512617549.4548073,575,16.799999237060547
1512617620.6142097,580,18.600000381469727
1512617742.3951867,590,15.600000381469727
1512617813.3848119,595,16.600000381469727
1512618027.3184264,610,19.399999618530273
1512618238.4366965,625,20.200000762939453
1512618300.8685563,630,16.399999618530273
1512618442.8877463,640,20.0
1512618589.1538641,650,16.600000381469727
1512618655.7632182,655,17.799999237060547
1512618724.6951864,660,17.0
1512618796.452027,665,19.799999237060547
1512618867.512879,670,18.0
1512618939.1725504,675,16.799999237060547
1512619082.1286645,685,17.799999237060547
1512619152.7297,690,16.399999618530273
1512619224.0918539,695,18.600000381469727
1512619295.6972868,700,18.200000762939453
1512619437.7381508,710,20.200000762939453
1512619509.299843,715,18.799999237060547
1512619581.4073966,720,18.600000381469727
1512619708.26679,730,16.799999237060547
1512619772.2790093,735,14.800000190734863
1512619843.192323,740,19.200000762939453
1512619981.8354847,750,16.600000381469727
1512620052.8037517,755,15.800000190734863
1512620181.050849,765,16.799999237060547
1512620252.207387,770,17.799999237060547
1512620394.7966835,780,16.600000381469727
1512620467.168502,785,20.600000381469727
1512620530.9277742,790,16.0
1512620658.3838582,800,17.799999237060547
1512620724.910479,805,15.600000381469727
1512620921.4474785,820,13.199999809265137
1512620990.6998389,825,13.0
1512621062.277539,830,15.0
1512621128.9048193,835,13.600000381469727
1512621271.7837074,845,13.800000190734863
1512621343.160161,850,16.200000762939453
1512621485.0459886,860,17.200000762939453
1512621622.5241299,870,17.799999237060547
1512621693.140824,875,18.399999618530273
1512621762.8746133,880,16.200000762939453
1512621824.1124609,885,13.199999809265137
1512621967.9064462,895,16.799999237060547
1512622040.6424468,900,18.399999618530273
1512622229.2645295,915,12.399999618530273
1512622496.5306544,935,18.799999237060547
1512622567.6243432,940,18.399999618530273
1512622774.1072161,955,16.0
1512622845.4364307,960,10.800000190734863
1512622980.1004348,970,14.199999809265137
1512623051.7920167,975,15.600000381469727
1512623123.9007766,980,13.399999618530273
1512623186.4363723,985,12.399999618530273
1512623258.0044048,990,14.800000190734863
1512623472.5693474,1005,12.800000190734863
1512623541.6379242,1010,15.199999809265137
1512623613.3344371,1015,17.399999618530273
1512623669.2972705,1020,13.399999618530273
1512623877.8609004,1035,12.199999809265137
1512623949.9669006,1040,17.799999237060547
1512624014.4416296,1045,16.200000762939453
1512624069.1225054,1050,15.600000381469727
1512624139.9972858,1055,15.199999809265137
1512624202.9139073,1060,13.600000381469727
1512624340.0344522,1070,2.0
1512624411.121292,1075,2.4000000953674316
1512624482.0635602,1080,2.200000047683716
1512624607.2627394,1090,8.399999618530273
1512624672.911086,1095,4.400000095367432
1512624739.5642211,1100,5.800000190734863
1512624810.7285402,1105,13.199999809265137
