Wall time,Step,Value
1511736256.9426703,44,1.0
1511736696.695796,168,1.0
1511736896.3297768,229,0.0
1511737758.8515003,475,3.0
1511737973.83119,537,1.0
1511738126.8088648,580,1.0
1511738143.1159644,587,2.0
1511738286.4735699,635,1.0
1511738333.45029,643,3.0
1511738576.7899334,715,3.0
1511738914.693861,811,6.0
1511739636.7068713,1016,3.0
1511740699.0819776,1333,5.0
1511740891.3175514,1385,3.0
1511741082.1085725,1437,3.0
1511742088.1532753,1735,2.0
1511742088.6573648,1738,7.0
1511742573.2957118,1877,2.0
1511743080.6478379,2036,4.0
1511743944.4651768,2306,2.0
1511744144.0459406,2390,5.0
1511744351.9962687,2489,-1.0
1511744353.032608,2482,4.0
1511744892.874831,2687,3.0
1511746724.6319277,3231,7.0
1511746772.9710984,3246,6.0
1511746968.9769459,3306,6.0
1511748060.922762,3616,4.0
1511748060.9719517,3621,4.0
1511748238.1765013,3671,4.0
1511748765.9170897,3822,7.0
1511749204.7900388,3955,6.0
1511750365.9106855,4316,9.0
1511750679.1773791,4401,8.0
1511751000.757818,4493,11.0
1511751064.8035321,4511,9.0
1511752635.0234811,4973,8.0
1511753185.6400454,5135,6.0
1511753896.5528615,5346,6.0
1511755166.7075179,5723,8.0
1511755774.9882689,5906,9.0
1511756057.0661838,5992,7.0
1511756804.7429242,6201,9.0
1511758463.6421814,6701,13.0
1511758505.9813604,6714,10.0
1511759007.679662,6857,7.0
1511759377.2789004,6967,7.0
1511760019.905595,7156,5.0
1511761068.6312973,7461,3.0
1511761070.4357915,7463,9.0
1511762177.9399009,7800,14.0
1511762298.4781003,7834,14.0
1511763077.841035,8068,12.0
1511763466.454597,8182,16.0
1511763613.697872,8223,15.0
1511764534.6872573,8499,14.0
1511764553.6879404,8509,6.0
1511765814.4265985,8879,15.0
1511765992.791689,8936,12.0
1511767100.3309076,9264,22.0
1511767772.7178435,9468,11.0
1511768044.602815,9555,16.0
1511768499.545667,9699,8.0
1511770773.750527,10400,14.0
1511771032.878754,10483,20.0
